event_name,event_lat,event_lon,stop_id,stop_name,stop_lat,stop_lon,distance
Easter 2026 at Clonfert Farm,53.3618657,-6.6745734,8260PB10045,Rathcoffey,53.3341571403331,-6.67788819585792,0.027906131053840832
Easter Family Adventure at Kildare Farm Foods,53.1262731,-6.9570373,826000154,Walterstown,53.103065,-6.960398,0.023450164393878033
"Ecce Homo by Titian, National Gallery Dublin",51.8973901,-8.476346399999999,8370B4289701,South Main Street,51.897316,-8.476966,0.0006240152001363891
Éire to Everywhere: Stories Without Borders with Nuala O'Connor,53.3483124,-6.2481792,8220DB002499,Sean O'Casey Bridge,53.348128,-6.247128,0.0010672510482534882
Éire to Everywhere: Stories Without Borders with Oisín Fagan,53.3483124,-6.2481792,8220DB002499,Sean O'Casey Bridge,53.348128,-6.247128,0.0010672510482534882
Embroidery Workshop: Make an Irish Celtic Knot,53.3402225,-6.2549209,8220DB004530,Kildare Street,53.3403225334906,-6.25546724321507,0.000555425609684672
Evening: Born to Dance by Kerry School of Music Dance Academy,52.2666168,-9.7083368,8390B635851,Tralee Prince's Street,52.266953,-9.709685,0.0013894868405283879
Fair Deal,53.3483986,-6.257178199999999,8220DB000297,Eden Quay,53.3481432679358,-6.25677012601713,0.0004813718297814636
Faulty Towers The Dining Experience,53.30780290000001,-6.2545606,8220DB001062,Chuchtown Road Lower,53.30826,-6.255319,0.0008855004065421556
Fiona Marron—The centrality of bodies,53.3389205,-6.2745307,8220DB002312,Saint Luke's Avenue,53.338879,-6.275484,0.0009542028819910499
Flowers and Friendship Bracelets,51.9011156,-8.4683303,8370B299001,Merchants Quay,51.899985,-8.468247,0.0011336645226835956
Francis Rossi,52.044466,-9.502486,839000124,Gleneagle Hotel,52.0440401554159,-9.50267484856799,0.0004658405214659756
Frontlines: Irish Journalists Abroad,53.3483124,-6.2481792,8220DB002499,Sean O'Casey Bridge,53.348128,-6.247128,0.0010672510482534882
Galway Comic Con 2026,53.2789873,-9.039006,8460B5236801,Dexcom Stadium,53.27869,-9.038295,0.0007706544556420632
Gerard Byrne: An Artist's Eye | Exhibition,53.3437192,-6.262137999999999,8220DB007582,College Green,53.344322,-6.262228,0.0006094816157974883
Get Shamrocked!,53.3498053,-6.2603097,8220DB006059,The Spire of Dublin,53.3502244282714,-6.26018517538052,0.00043723550718813005
Goethe Choir presents Stabat Mater by Karl Jenkins,53.34351299999999,-6.2710602,8220PB11631,Winetavern Street,53.343467,-6.27201,0.0009509132662861062
Grace,53.7154691,-7.7996269,8290IR0072,Longford,53.724079,-7.796346,0.00921383106096789
Grace by Jody O'Neill,52.838161,-6.9278619,8210000199,Carlow College,52.838603,-6.927199,0.000796743628778846
Hothouse Flowers,52.3380334,-6.4621603,834000055,Custom House Quay,52.339415,-6.460298,0.0023188315699949865
I'm Grand Mam - Happy Campers,52.044466,-9.502486,839000124,Gleneagle Hotel,52.0440401554159,-9.50267484856799,0.0004658405214659756
In the Footsteps of St Patrick,53.3443804,-6.2632213,8220DB007581,College Green,53.344159,-6.263346,0.00025410243997366647
Ireland Card Show 2026,53.326698,-6.226029899999999,8220DB000417,Merrion Road,53.3277,-6.22597,0.0010037888273931178
Irish Baking Experience,52.4457718,-7.677380499999999,843000033,Fethard,52.466031,-7.695851,0.02741522487396315
Irish Heritage Recital - BVOF 2026,52.14926089999999,-7.880488999999999,845000005,Cappoquin,52.146660550323,-7.85102499985457,0.02957852469296734
Irish Salon Opera Series: The Deserted Village by John William Glover,52.1398345,-7.9293394,8450B255061,Lismore,52.136741,-7.934327,0.005869062617657822
Irish Writers’ Series: Samuel Beckett,52.1398345,-7.9293394,8450B255061,Lismore,52.136741,-7.934327,0.005869062617657822
Jack Patrick Healy - Orange is in the new Jack,52.044466,-9.502486,839000124,Gleneagle Hotel,52.0440401554159,-9.50267484856799,0.0004658405214659756
James McMurtry,53.33658,-6.265715,8220DB001353,Wexford Street,53.33601,-6.265419,0.0006422740847924329
Japanese Film Festival,54.0045323,-6.400592899999999,8300PB14077,Dundalk Roden Place,54.004474,-6.39903,0.0015639869884357068
Jarlath Regan Gas Man,52.3380334,-6.4621603,834000055,Custom House Quay,52.339415,-6.460298,0.0023188315699949865
Jason Byrne Head In The Clouds,52.3380334,-6.4621603,834000055,Custom House Quay,52.339415,-6.460298,0.0023188315699949865
Joe Stilgoe and the RTÉ CO Present: A Night at the Movies,53.3346479,-6.2587823,8220DB001013,Earlsfort Terrace,53.334181,-6.258346,0.000639025273364818
Joe the Magician - Live,52.3380334,-6.4621603,834000055,Custom House Quay,52.339415,-6.460298,0.0023188315699949865
Joe the Magician - Live,52.3380334,-6.4621603,834000055,Custom House Quay,52.339415,-6.460298,0.0023188315699949865
K-Pop Camp,53.44457670000001,-6.1655167,8240DB003583,Saint Sylvester's School,53.449348,-6.163163,0.005320263844949957
Kim Crowley: Residency & Exhibition,51.8973901,-8.476346399999999,8370B4289701,South Main Street,51.897316,-8.476966,0.0006240152001363891
Kinsale St. Patrick's Day Parade 2026,51.7058853,-8.5222327,8380B247191,Kinsale,51.7056067601612,-8.52182635309584,0.0004926481993441864
